# z23 benchmark history.
# Columns: date, commit, bench, value, unit, notes.
# Numeric value rows are regression-gated by build/bin/z23 -bench-regress.
# Empty value rows are pending/skipped measurements and are ignored by the gate.
# Bench names follow docs/USER_BENCHMARKS.md primaries #1..#5.
# Append-only: do not rewrite old rows; add a correction row instead.
date,commit,bench,value,unit,notes
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust bls12-381-fp-mul,55.813,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 17916990 ops/sec
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust bls12-381-pairing,1786924.097,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 560 ops/sec
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust secp256k1-ecdsa-verify,49241.904,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 20308 ops/sec
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust ed25519-verify,1506304.575,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 664 ops/sec
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust sha256,2014.285,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 496454 ops/sec
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust sha3-256,1794.694,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 557198 ops/sec
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust blake2b,855.149,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 1169386 ops/sec
2026-07-13T19:14:41Z,75c9dcee6-dirty,crypto-vs-rust groth16-bls12-381-output,7842686.312,ns/op,median C ns/op; host-relative; vs pinned Rust baseline (tools/crypto_perf_baseline.csv); 128 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust equihash-200-9,123552.700,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 8094 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust bls12-381-fp-mul,60.200,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 16611296 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust bls12-381-pairing,1908834.100,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 524 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust secp256k1-ecdsa-verify,52462.400,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 19061 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust ed25519-verify,1618293.500,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 618 ops/sec
2026-07-25T00:35:00Z,3448d047b,crypto-vs-rust sha256,2115.800,ns/op,min-of-4 interleaved A/B on the shared build machine (7950X3D); shipped -march=x86-64-v3; SHA-NI and AVX-512 compiled OUT; 472591 ops/sec
